Instancia,clustering,n,cantidad-pasos,temperatura-max,coefEn,costo-antes,costo-despues,costo-optimo,tiempo
A-n34-k5,SAVINGS,34,1000,20,0.99,1097.21,1073.43,778,2752.16
A-n37-k6,SAVINGS,37,1000,20,0.99,1122.18,1083.05,949,2788.16
A-n39-k6,SAVINGS,39,1000,20,0.99,1286.35,1270.32,831,3453.2
A-n44-k6,SAVINGS,44,1000,20,0.99,1422.87,1402.81,937,3656.21
A-n45-k7,SAVINGS,45,1000,20,0.99,1546.75,1524.46,1146,3787.22
A-n48-k7,SAVINGS,48,1000,20,0.99,1829.99,1797.68,1073,3882.22
A-n53-k7,SAVINGS,53,1000,20,0.99,1584.17,1563.7,1010,4382.25
A-n55-k9,SAVINGS,55,1000,20,0.99,1617.23,1591.02,1073,4697.27
A-n60-k9,SAVINGS,60,1000,20,0.99,2139.42,2113.1,1354,5052.29
A-n65-k9,SAVINGS,65,1000,20,0.99,1971.57,1916.87,1174,5573.32
A-n69-k9,SAVINGS,69,1000,20,0.99,1987.37,1978.32,1159,6936.4
A-n80-k10,SAVINGS,80,1000,20,0.99,3144.79,3123.73,1763,7455.43
