Instancia,n,capacidad-camion,k-opt,costo-opt,Algoritmo,costo-sol,k-sol,tiempo
B-n31-k5,31,100,5,672,SWEEP,713.485,5,7.5
B-n34-k5,34,100,5,788,SWEEP,942.51,6,12.5
B-n35-k5,35,100,5,955,SWEEP,1123.1,5,10
B-n38-k6,38,100,6,805,SWEEP,929.287,6,12.5
B-n39-k5,39,100,5,549,SWEEP,680.651,5,10
B-n41-k6,41,100,6,829,SWEEP,1058.67,7,10
B-n43-k6,43,100,6,742,SWEEP,893.189,6,10
B-n44-k7,44,100,7,909,SWEEP,1233.27,8,10
B-n45-k5,45,100,5,751,SWEEP,837.149,6,12.5
B-n50-k7,50,100,7,741,SWEEP,886.231,7,10
B-n51-k7,51,100,7,1032,SWEEP,1239.15,8,12.5
B-n52-k7,52,100,7,747,SWEEP,881.711,7,15
B-n57-k7,57,100,7,1153,SWEEP,1492.24,8,12.5
B-n63-k10,63,100,10,1496,SWEEP,1779.81,11,17.5
B-n66-k9,66,100,9,1316,SWEEP,1547.04,10,17.5
B-n67-k10,67,100,10,1032,SWEEP,1204.88,10,15
B-n78-k10,78,100,10,1221,SWEEP,1478.27,11,20
