Instancia,n,capacidad-camion,k-opt,costo-opt,Algoritmo,costo-sol,k-sol,tiempo
X-n513-k21,513,142,21,24201,SWEEP,31461.8,21,2110.03
X-n548-k50,548,11,50,86701,SWEEP,109727,50,1805.1
X-n613-k62,613,523,62,59556,SWEEP,75190.6,66,2371.05
X-n655-k131,655,5,131,106780,SWEEP,125556,131,2503.14
X-n716-k35,716,1007,35,43414,SWEEP,54836.8,36,2813.57
X-n749-k98,749,396,98,77365,SWEEP,105400,106,2223.04
X-n819-k171,819,358,171,158265,SWEEP,194845,188,3105.59
X-n856-k95,856,9,95,89002,SWEEP,103908,95,2462.05
X-n916-k207,916,33,207,329247,SWEEP,453515,231,2507.06
X-n957-k87,957,11,87,85478,SWEEP,113454,87,2354.54
X-n1001-k43,1001,131,43,72402,SWEEP,92308.3,44,3743.1
