Instancia,n,capacidad-camion,k-opt,costo-opt,Algoritmo,costo-sol,k-sol,tiempo
Li_21,561,1200,10,16212.8,SWEEP,19177.2,10,1682.53
Li_22,601,900,15,14499,SWEEP,16793.8,14,2271.04
Li_23,641,1400,10,18801.1,SWEEP,22979.8,10,2502.08
Li_24,721,1500,10,21389.4,SWEEP,26087.4,10,2993.08
Li_25,761,900,19,16668.5,SWEEP,18723.1,17,2442.54
Li_26,801,1700,10,23977.7,SWEEP,27359.7,10,2998.56
Li_27,841,900,20,17372.6,SWEEP,19717.8,19,3231.59
Li_28,881,1800,10,26566,SWEEP,32460.4,10,4229.64
Li_29,961,2000,10,29154.3,SWEEP,34507.8,10,4080.62
Li_30,1041,2100,10,31742.6,SWEEP,39182.2,10,4330.08
Li_31,1121,2300,10,34330.9,SWEEP,40641.9,10,5330.64
Li_32,1201,2500,11,37159.4,SWEEP,46100.6,10,5772.13
