Instancia,n,capacidad-camion,k-opt,costo-opt,Algoritmo,costo-sol,k-sol,tiempo
P-n16-k8,16,35,8,450,SWEEP,556.957,10,5
P-n19-k2,19,160,2,212,SWEEP,297.234,3,2.5
P-n20-k2,20,160,2,216,SWEEP,305.4,3,2.5
P-n22-k2,22,160,2,216,SWEEP,254.961,2,2.5
P-n23-k8,23,40,8,529,SWEEP,660.12,10,8.5
P-n40-k5,40,140,5,458,SWEEP,541.377,5,7.5
P-n45-k5,45,150,5,510,SWEEP,636.033,5,7.5
P-n50-k7,50,150,7,554,SWEEP,665.178,7,10
P-n55-k8,55,160,8,588,SWEEP,690.277,7,10
P-n60-k10,60,120,10,744,SWEEP,896.108,11,10
P-n60-k15,60,80,15,968,SWEEP,1199.96,17,15
P-n70-k10,70,135,10,827,SWEEP,981.875,11,12.5
P-n76-k4,76,350,4,593,SWEEP,796.958,5,10
P-n101-k4,101,400,4,681,SWEEP,949.05,4,20
