Instancia,n,capacidad-camion,k-opt,costo-opt,Algoritmo,costo-sol,k-sol,tiempo
Li_21,561,1200,10,16212.8,SWEEP,19177.2,10,1682.53
Li_22,601,900,15,14499,SWEEP,16793.8,14,2271.04
Li_23,641,1400,10,18801.1,SWEEP,22979.8,10,2502.08
Li_24,721,1500,10,21389.4,SWEEP,26087.4,10,2993.08
Li_25,761,900,19,16668.5,SWEEP,18723.1,17,2442.54
Li_26,801,1700,10,23977.7,SWEEP,27359.7,10,2998.56
Li_27,841,900,20,17372.6,SWEEP,19717.8,19,3231.59
Li_28,881,1800,10,26566,SWEEP,32460.4,10,4229.64
Li_29,961,2000,10,29154.3,SWEEP,34507.8,10,4080.62
Li_30,1041,2100,10,31742.6,SWEEP,39182.2,10,4330.08
Li_31,1121,2300,10,34330.9,SWEEP,40641.9,10,5330.64
Li_32,1201,2500,11,37159.4,SWEEP,46100.6,10,5772.13
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,274.5
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,264.5
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,205
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,222
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,185
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,257
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,207.5
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,167.5
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,202.5
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,180
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,162.5
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,192.5
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,180
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,152.5
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,177.5
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,210
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,160
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,197.5
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,160
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,150
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,195
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,150
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,146
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,222.5
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,187.5
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,215
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,166
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,180
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,142.5
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,140
Li_21,561,1200,10,16212.8,SWEEP,19177.2,10,1917.53
Li_21,561,1200,10,16212.8,SWEEP,19177.2,10,350.005
X-n548-k50,548,11,50,86701,SWEEP,109727,50,47.501
F-n45-k4,45,2010,4,724,SWEEP,809.162,4,7
F-n45-k4,45,2010,4,724,SWEEP,809.162,4,53.003
F-n45-k4,45,2010,4,724,SWEEP,809.162,4,6
F-n45-k4,45,2010,4,724,SWEEP,809.162,4,8.001
F-n45-k4,45,2010,4,724,SWEEP,809.162,4,12.001
F-n45-k4,45,2010,4,724,SWEEP,809.162,4,7
F-n45-k4,45,2010,4,724,SWEEP,809.162,4,7
F-n45-k4,45,2010,4,724,SWEEP,809.162,4,10.001
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,9
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,11
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,10
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,10
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,11
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,10
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,10
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,10
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,7.5
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,12.5
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,10
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,10
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,10
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,12.5
F-n72-k4,72,30000,4,237,SWEEP,343.379,5,10
A-n34-k5,34,100,5,778,SWEEP,872.491,5,5
A-n37-k6,37,100,6,949,SWEEP,1209.26,7,2.5
A-n39-k6,39,100,6,831,SWEEP,1077.09,6,5
A-n44-k6,44,100,6,937,SWEEP,1138.88,6,5
A-n44-k6,44,100,6,937,SWEEP,1138.88,6,5
A-n45-k7,45,100,7,1146,SWEEP,1382.29,7,7.5
A-n48-k7,48,100,7,1073,SWEEP,1291.05,7,5
A-n53-k7,53,100,7,1010,SWEEP,1219.71,7,5
A-n55-k9,55,100,9,1073,SWEEP,1295.53,10,5
A-n60-k9,60,100,9,1354,SWEEP,1671.09,10,7.5
A-n65-k9,65,100,9,1174,SWEEP,1349.15,10,7.5
A-n69-k9,69,100,9,1159,SWEEP,1367.23,9,5
A-n80-k10,80,100,10,1763,SWEEP,2439.75,11,5
X-n513-k21,513,142,21,24201,SWEEP,31461.8,21,70
X-n548-k50,548,11,50,86701,SWEEP,109727,50,33
X-n655-k131,655,5,131,106780,SWEEP,125556,131,36
X-n613-k62,613,523,62,59556,SWEEP,75190.6,66,48
X-n655-k131,655,5,131,106780,SWEEP,125556,131,36
X-n749-k98,749,396,98,77365,SWEEP,105400,106,41
X-n856-k95,856,9,95,89002,SWEEP,103908,95,47
X-n957-k87,957,11,87,85478,SWEEP,113454,87,56
X-n1001-k43,1001,131,43,72402,SWEEP,92308.3,44,122
X-n513-k21,513,142,21,24201,SWEEP,31461.8,21,72
X-n548-k50,548,11,50,86701,SWEEP,109727,50,34
F-n45-k4,45,2010,4,724,SWEEP,809.162,4,295.017
